# mass(g) temperature(K) clouds reduced_chi_squared
2.9850000000000003e+29 1200 None 10.438115456440075
2.9850000000000003e+29 1300 None 14.476984144580689
2.9850000000000003e+29 1400 None 19.00324923321304
2.9850000000000003e+29 1500 None 24.00061200255624
2.9850000000000003e+29 1600 None 29.306063340726876
2.9850000000000003e+29 1700 None 35.221510711926534
2.9850000000000003e+29 1800 None 41.79364322910965
2.9850000000000003e+29 1900 None 49.06298953885467
2.9850000000000003e+29 2000 None 57.16876248274669
3.582e+29 300 None 13.968933070015378
3.582e+29 400 None 10.961062600878341
3.582e+29 500 None 8.207410787898436
3.582e+29 600 None 5.655638053062501
3.582e+29 700 None 3.5742686923190603
3.582e+29 800 None 2.215864288067911
3.582e+29 900 None 1.7038851110115856
3.582e+29 1000 None 1.9597273073840087
3.582e+29 1100 None 2.8316756045017564
3.582e+29 1200 None 4.171851339872639
3.582e+29 1300 None 5.816135923775459
3.582e+29 1400 None 7.700079981999122
3.582e+29 1500 None 9.808320631739317
3.582e+29 1600 None 12.12126342327627
3.582e+29 1700 None 14.684205000551392
3.582e+29 1800 None 17.504781775294546
3.582e+29 1900 None 20.547265517771233
3.582e+29 2000 None 23.733507969289235
4.1790000000000005e+29 300 None 14.995247264469908
4.1790000000000005e+29 400 None 12.26757560741954
4.1790000000000005e+29 500 None 9.721964078392999
4.1790000000000005e+29 600 None 7.2693999488803325
4.1790000000000005e+29 700 None 5.11441277739299
4.1790000000000005e+29 800 None 3.4639311692189607
4.1790000000000005e+29 900 None 2.4523828044560885
4.1790000000000005e+29 1000 None 2.002549988707487
4.1790000000000005e+29 1100 None 2.03188704407195
4.1790000000000005e+29 1200 None 2.4247373017071405
4.1790000000000005e+29 1300 None 3.0374936069523444
4.1790000000000005e+29 1400 None 3.8136335705151
4.1790000000000005e+29 1500 None 4.727977992531212
4.1790000000000005e+29 1600 None 5.75248079051743
4.1790000000000005e+29 1700 None 6.905243381766703
4.1790000000000005e+29 1800 None 8.18421491304235
4.1790000000000005e+29 1900 None 9.565381674743424
4.1790000000000005e+29 2000 None 11.09360995426139
4.776000000000001e+29 300 None 15.812622902312583
4.776000000000001e+29 400 None 13.329121074530049
4.776000000000001e+29 500 None 10.984279298645092
4.776000000000001e+29 600 None 8.673180154575157
4.776000000000001e+29 700 None 6.560121638842022
4.776000000000001e+29 800 None 4.822003229625885
4.776000000000001e+29 900 None 3.5973409847049074
4.776000000000001e+29 1000 None 2.8141586155953906
4.776000000000001e+29 1100 None 2.4328750499978944
4.776000000000001e+29 1200 None 2.361648753648494
4.776000000000001e+29 1300 None 2.4740187438044132
4.776000000000001e+29 1400 None 2.7220469440290613
4.776000000000001e+29 1500 None 3.076907126933217
4.776000000000001e+29 1600 None 3.5090353921603556
4.776000000000001e+29 1700 None 4.0234351244918
4.776000000000001e+29 1800 None 4.616206825272811
4.776000000000001e+29 1900 None 5.27122534971771
4.776000000000001e+29 2000 None 6.011542517700543
5.373e+29 300 None 16.476636731456097
5.373e+29 400 None 14.202903275694059
5.373e+29 500 None 12.039718510351273
5.373e+29 600 None 9.87604762370072
5.373e+29 700 None 7.8487227707104115
5.373e+29 800 None 6.112899308946618
5.373e+29 900 None 4.807020656537555
5.373e+29 1000 None 3.864773246961057
5.373e+29 1100 None 3.2741512071360646
5.373e+29 1200 None 2.9607700825022985
5.373e+29 1300 None 2.8119101695080455
5.373e+29 1400 None 2.7868396148041756
5.373e+29 1500 None 2.855327100657239
5.373e+29 1600 None 2.9882705219307084
