# mass(g) temperature(K) clouds reduced_chi_squared
5.970000000000001e+28 300 None 1342.7336631386931
5.970000000000001e+28 400 None 1105.7507288278894
5.970000000000001e+28 500 None 808.4916862598521
5.970000000000001e+28 600 None 455.6180727883162
5.970000000000001e+28 700 None 138.9734520031179
5.970000000000001e+28 800 None 144.06701792646055
5.970000000000001e+28 900 None 1443.384941330921
5.970000000000001e+28 1000 None 8444.906249926207
5.970000000000001e+28 1100 None 50178.145425168754
5.970000000000001e+28 1200 None 571105.3271637991
5.970000000000001e+28 1300 None 139381885.67435408
5.970000000000001e+28 1400 None 31612179421.50405
5.970000000000001e+28 1500 None 8303355532.72347
5.970000000000001e+28 1600 None 47030981525.16403
5.970000000000001e+28 1700 None 16957618342.814167
5.970000000000001e+28 1800 None 1677311345.2949545
5.970000000000001e+28 1900 None 2657739465.7191343
5.970000000000001e+28 2000 None 1095751051.6371903
7.1640000000000006e+28 300 None 1412.703230735206
7.1640000000000006e+28 400 None 1218.4846269799843
7.1640000000000006e+28 500 None 980.917263898135
7.1640000000000006e+28 600 None 694.7755540409141
7.1640000000000006e+28 700 None 391.8167199877899
7.1640000000000006e+28 800 None 140.86648229266763
7.1640000000000006e+28 900 None 89.88141240629855
7.1640000000000006e+28 1000 None 611.0716349614274
7.1640000000000006e+28 1100 None 2817.030578748378
7.1640000000000006e+28 1200 None 10783.27354924094
7.1640000000000006e+28 1300 None 43991.59419388676
7.1640000000000006e+28 1400 None 258890.65130925138
7.1640000000000006e+28 1500 None 4686469.131128161
7.1640000000000006e+28 1600 None 166658492414.08334
7.1640000000000006e+28 1700 None 5571177144.8003845
7.1640000000000006e+28 1800 None 8816428260.375347
7.1640000000000006e+28 1900 None 2995448159.293366
7.1640000000000006e+28 2000 None 21553881524.121338
8.358e+28 300 None 1463.7317391762579
8.358e+28 400 None 1299.0763514932396
8.358e+28 500 None 1101.8265810446476
8.358e+28 600 None 865.5487453378663
8.358e+28 700 None 607.6785425228538
8.358e+28 800 None 357.6305124599982
8.358e+28 900 None 160.5575661952078
8.358e+28 1000 None 94.64716073206576
8.358e+28 1100 None 324.25110297103333
8.358e+28 1200 None 1254.9961591957397
8.358e+28 1300 None 3974.410072378679
8.358e+28 1400 None 11873.914743203837
8.358e+28 1500 None 37796.57793973461
8.358e+28 1600 None 151810.6981932261
8.358e+28 1700 None 1087307.1947951943
8.358e+28 1800 None 46312979.40148038
8.358e+28 1900 None 308154674870.9409
8.358e+28 2000 None 107355317848.3717
9.552e+28 300 None 1502.612473430678
9.552e+28 400 None 1359.6316809715383
9.552e+28 500 None 1191.1668049135912
9.552e+28 600 None 991.1146768673071
9.552e+28 700 None 771.7157994939221
9.552e+28 800 None 550.7984513755931
9.552e+28 900 None 349.7294587314686
9.552e+28 1000 None 191.51395755196418
9.552e+28 1100 None 120.3689919775607
9.552e+28 1200 None 218.7519189339769
9.552e+28 1300 None 660.1330809558492
9.552e+28 1400 None 1844.256311719341
9.552e+28 1500 None 4727.928321059085
9.552e+28 1600 None 11943.689549920933
9.552e+28 1700 None 31912.98042114089
9.552e+28 1800 None 99831.17378064213
