# mass(g) temperature(K) clouds reduced_chi_squared
4.776000000000001e+29 1600 None 7.392182494304285
4.776000000000001e+29 1700 None 8.479450692985411
4.776000000000001e+29 1800 None 9.638650724053475
4.776000000000001e+29 1900 None 10.845275703744221
4.776000000000001e+29 2000 None 12.112740822086437
5.373e+29 300 None 8.76512432435666
5.373e+29 400 None 7.364397888753386
5.373e+29 500 None 6.008675908619391
5.373e+29 600 None 4.703110627516466
5.373e+29 700 None 3.58819241927323
5.373e+29 800 None 2.8014554377833156
5.373e+29 900 None 2.381808037812214
5.373e+29 1000 None 2.3029578784648863
5.373e+29 1100 None 2.4831946723578953
5.373e+29 1200 None 2.824924785347684
5.373e+29 1300 None 3.28772125199712
5.373e+29 1400 None 3.8111259686819263
5.373e+29 1500 None 4.391300164339062
5.373e+29 1600 None 5.004532579032769
5.373e+29 1700 None 5.662566020578991
5.373e+29 1800 None 6.369307186560459
5.373e+29 1900 None 7.107817795047732
5.373e+29 2000 None 7.880420494679547
5.970000000000001e+28 300 0.001 6.446010953835847
5.970000000000001e+28 400 0.001 5.364575846497419
5.970000000000001e+28 500 0.001 25.493306976199467
5.970000000000001e+28 600 0.001 126.90002992488844
5.970000000000001e+28 700 0.001 471.5226373027634
5.970000000000001e+28 800 0.001 1496.4260568921904
5.970000000000001e+28 900 0.001 50
5.970000000000001e+28 1000 0.001 50
5.970000000000001e+28 1100 0.001 50
5.970000000000001e+28 1200 0.001 50
5.970000000000001e+28 1300 0.001 50
5.970000000000001e+28 1400 0.001 50
5.970000000000001e+28 1500 0.001 50
5.970000000000001e+28 1600 0.001 50
5.970000000000001e+28 1700 0.001 50
5.970000000000001e+28 1800 0.001 50
5.970000000000001e+28 1900 0.001 50
5.970000000000001e+28 2000 0.001 50
1.1940000000000002e+29 300 0.001 9.276824356583813
1.1940000000000002e+29 400 0.001 6.3009928863210005
1.1940000000000002e+29 500 0.001 3.292875658575797
1.1940000000000002e+29 600 0.001 3.7555765943482844
1.1940000000000002e+29 700 0.001 13.87649935450346
1.1940000000000002e+29 800 0.001 41.066780382435205
1.1940000000000002e+29 900 0.001 95.32309772299398
1.1940000000000002e+29 1000 0.001 50
1.1940000000000002e+29 1100 0.001 50
1.1940000000000002e+29 1200 0.001 50
1.1940000000000002e+29 1300 0.001 50
1.1940000000000002e+29 1400 0.001 50
1.1940000000000002e+29 1500 0.001 50
1.1940000000000002e+29 1600 0.001 50
1.1940000000000002e+29 1700 0.001 50
1.1940000000000002e+29 1800 0.001 50
1.1940000000000002e+29 1900 0.001 50
1.1940000000000002e+29 2000 0.001 50
1.791e+29 300 0.001 10.435145858980164
1.791e+29 400 0.001 8.358554133925349
1.791e+29 500 0.001 5.554611221455131
1.791e+29 600 0.001 2.951594295015882
1.791e+29 700 0.001 2.2462449199455183
1.791e+29 800 0.001 5.461154521021028
1.791e+29 900 0.001 14.46436622045856
1.791e+29 1000 0.001 30.234447132252374
1.791e+29 1100 0.001 54.25954289148188
1.791e+29 1200 0.001 50
1.791e+29 1300 0.001 50
